From	To
RL7L_HUMAN	ENSG00000146223.16
ZMY11_HUMAN	ENSG00000015171.21
PRD16_HUMAN	ENSG00000142611.17
DSG2_HUMAN	ENSG00000046604.14
C1QA_HUMAN	ENSG00000173372.18
NTAQ1_HUMAN	ENSG00000156795.8
ACTG_HUMAN	ENSG00000184009.13
ACTG_HUMAN	ENSG00000291420.1
ETV5_HUMAN	ENSG00000244405.8
GAS6_HUMAN	ENSG00000183087.15
DD19B_HUMAN	ENSG00000157349.17
PDIA6_HUMAN	ENSG00000143870.13
FBX21_HUMAN	ENSG00000135108.16
ZN687_HUMAN	ENSG00000143373.18
LIRB2_HUMAN	ENSG00000131042.15
LIRB2_HUMAN	ENSG00000276146.4
LIRB2_HUMAN	ENSG00000275463.4
LIRB2_HUMAN	ENSG00000274513.4
HOME2_HUMAN	ENSG00000103942.13
ANXA4_HUMAN	ENSG00000196975.16
TAOK2_HUMAN	ENSG00000149930.18
BAKOR_HUMAN	ENSG00000126775.9
RBM5_HUMAN	ENSG00000003756.17
PUF60_HUMAN	ENSG00000179950.15
ABCF1_HUMAN	ENSG00000204574.14
ABCF1_HUMAN	ENSG00000206490.11
ABCF1_HUMAN	ENSG00000232169.9
ABCF1_HUMAN	ENSG00000225989.9
ABCF1_HUMAN	ENSG00000231129.8
ABCF1_HUMAN	ENSG00000236342.8
ABCF1_HUMAN	ENSG00000236149.9
FADS1_HUMAN	ENSG00000149485.19
PAAF1_HUMAN	ENSG00000175575.13
WIPI2_HUMAN	ENSG00000157954.15
TCPR1_HUMAN	ENSG00000205356.10
WDR5_HUMAN	ENSG00000196363.10
TFG_HUMAN	ENSG00000114354.15
LTC4S_HUMAN	ENSG00000213316.10
LTC4S_HUMAN	ENSG00000283887.2
SPY4_HUMAN	ENSG00000187678.10
RRP1B_HUMAN	ENSG00000160208.13
STAU2_HUMAN	ENSG00000040341.18
LEG1_HUMAN	ENSG00000100097.12
MUC16_HUMAN	ENSG00000181143.17
Z385B_HUMAN	ENSG00000144331.20
DCTN1_HUMAN	ENSG00000204843.13
RL19_HUMAN	ENSG00000108298.12
HOIL1_HUMAN	ENSG00000125826.22
SHRPN_HUMAN	ENSG00000179526.17
FUT7_HUMAN	ENSG00000180549.8
GPSM1_HUMAN	ENSG00000160360.13
ZN638_HUMAN	ENSG00000075292.19
IPO13_HUMAN	ENSG00000117408.11
ALX1_HUMAN	ENSG00000180318.4
AT2B1_HUMAN	ENSG00000070961.17
CTR9_HUMAN	ENSG00000198730.9
RL17_HUMAN	ENSG00000265681.8
RHG32_HUMAN	ENSG00000134909.19
CRX_HUMAN	ENSG00000105392.17
ABI3_HUMAN	ENSG00000108798.9
CATD_HUMAN	ENSG00000117984.15
ZC3HF_HUMAN	ENSG00000065548.18
PDIA1_HUMAN	ENSG00000185624.16
SAMH1_HUMAN	ENSG00000101347.11
CAR16_HUMAN	ENSG00000204397.10
TRIO_HUMAN	ENSG00000038382.23
KR105_HUMAN	ENSG00000241123.1
CIRBP_HUMAN	ENSG00000099622.14
TRA2A_HUMAN	ENSG00000164548.12
UIF_HUMAN	ENSG00000122068.13
ZC3H3_HUMAN	ENSG00000014164.7
KDM2A_HUMAN	ENSG00000173120.15
PURA_HUMAN	ENSG00000185129.8
SDHF2_HUMAN	ENSG00000167985.7
PELI2_HUMAN	ENSG00000139946.11
RL14_HUMAN	ENSG00000188846.14
PSPC1_HUMAN	ENSG00000121390.19
UTP15_HUMAN	ENSG00000164338.10
HXK1_HUMAN	ENSG00000156515.25
I23O1_HUMAN	ENSG00000131203.13
AJUBA_HUMAN	ENSG00000129474.17
DCNL1_HUMAN	ENSG00000043093.15
K22E_HUMAN	ENSG00000172867.4
FBX25_HUMAN	ENSG00000147364.17
TCPE_HUMAN	ENSG00000150753.12
K2C6B_HUMAN	ENSG00000185479.6
ABRX2_HUMAN	ENSG00000165660.8
BABA2_HUMAN	ENSG00000158019.21
TTYH2_HUMAN	ENSG00000141540.11
NUAK1_HUMAN	ENSG00000074590.14
ATG3_HUMAN	ENSG00000144848.11
RB40B_HUMAN	ENSG00000141542.11
TF2B_HUMAN	ENSG00000137947.12
ACTN4_HUMAN	ENSG00000130402.14
ACTN4_HUMAN	ENSG00000282844.2
FLNC_HUMAN	ENSG00000128591.16
TRI63_HUMAN	ENSG00000158022.7
STRAB_HUMAN	ENSG00000082146.13
CTNL1_HUMAN	ENSG00000119326.15
ECH1_HUMAN	ENSG00000104823.9
ECH1_HUMAN	ENSG00000282853.2
HNRL1_HUMAN	ENSG00000105323.18
CPLX3_HUMAN	ENSG00000213578.6
ETV1_HUMAN	ENSG00000006468.15
IRF6_HUMAN	ENSG00000117595.13
BAG3_HUMAN	ENSG00000151929.10
TBA8_HUMAN	ENSG00000183785.16
ARF6_HUMAN	ENSG00000165527.8
JIP3_HUMAN	ENSG00000138834.15
HNRPM_HUMAN	ENSG00000099783.13
RBM39_HUMAN	ENSG00000131051.24
FAM9B_HUMAN	ENSG00000177138.17
UBP2L_HUMAN	ENSG00000143569.20
CLC7A_HUMAN	ENSG00000172243.18
MGN_HUMAN	ENSG00000162385.11
PABP2_HUMAN	ENSG00000100836.11
KLH24_HUMAN	ENSG00000114796.16
EGLN1_HUMAN	ENSG00000135766.9
NOD1_HUMAN	ENSG00000106100.11
UBQL1_HUMAN	ENSG00000135018.14
TBA1C_HUMAN	ENSG00000167553.17
PSA1_HUMAN	ENSG00000129084.18
DEDD_HUMAN	ENSG00000158796.17
DEDD2_HUMAN	ENSG00000160570.14
LAMB1_HUMAN	ENSG00000091136.15
SDF1_HUMAN	ENSG00000107562.18
BRD3_HUMAN	ENSG00000169925.17
RRP8_HUMAN	ENSG00000132275.11
HYEP_HUMAN	ENSG00000143819.13
CACO2_HUMAN	ENSG00000136436.15
NFXL1_HUMAN	ENSG00000170448.12
TBX3_HUMAN	ENSG00000135111.16
LIRB4_HUMAN	ENSG00000275730.4
LIRB4_HUMAN	ENSG00000186818.13
BFSP1_HUMAN	ENSG00000125864.14
NUP62_HUMAN	ENSG00000213024.13
CPSF1_HUMAN	ENSG00000071894.17
CPSF1_HUMAN	ENSG00000285049.2
LMNA_HUMAN	ENSG00000160789.24
KCNJ6_HUMAN	ENSG00000157542.11
KCNJ3_HUMAN	ENSG00000162989.5
H2B3B_HUMAN	ENSG00000196890.5
H2B3B_HUMAN	ENSG00000285449.1
H15_HUMAN	ENSG00000184357.5
QCR2_HUMAN	ENSG00000140740.11
ARL4C_HUMAN	ENSG00000188042.8
CNBP_HUMAN	ENSG00000169714.17
DDX21_HUMAN	ENSG00000165732.14
DTL_HUMAN	ENSG00000143476.18
DC2I2_HUMAN	ENSG00000119333.12
PDS5B_HUMAN	ENSG00000083642.19
VDAC2_HUMAN	ENSG00000165637.14
FBP1L_HUMAN	ENSG00000137942.18
ACSL4_HUMAN	ENSG00000068366.21
IST1_HUMAN	ENSG00000182149.21
ACPH_HUMAN	ENSG00000164062.13
ARAF_HUMAN	ENSG00000078061.14
SIGIR_HUMAN	ENSG00000185187.13
RHOD_HUMAN	ENSG00000173156.7
RBM14_HUMAN	ENSG00000239306.5
PAK4_HUMAN	ENSG00000130669.17
PDIA2_HUMAN	ENSG00000185615.16
NCTR1_HUMAN	ENSG00000273535.4
NCTR1_HUMAN	ENSG00000278362.4
NCTR1_HUMAN	ENSG00000275156.4
NCTR1_HUMAN	ENSG00000189430.13
NHP2_HUMAN	ENSG00000145912.10
PDLI5_HUMAN	ENSG00000163110.15
PKHO1_HUMAN	ENSG00000023902.14
SERA_HUMAN	ENSG00000092621.13
MED1_HUMAN	ENSG00000125686.12
ANXA7_HUMAN	ENSG00000138279.16
INT3_HUMAN	ENSG00000143624.14
INT3_HUMAN	ENSG00000262826.5
SPR2A_HUMAN	ENSG00000241794.2
BUD31_HUMAN	ENSG00000106245.11
FBX7_HUMAN	ENSG00000100225.18
NPM3_HUMAN	ENSG00000107833.11
YTDC1_HUMAN	ENSG00000083896.13
YTDC1_HUMAN	ENSG00000275272.4
KLDC2_HUMAN	ENSG00000165516.11
CEBPG_HUMAN	ENSG00000153879.9
MIC19_HUMAN	ENSG00000106554.13
KCC2B_HUMAN	ENSG00000058404.21
KCNB1_HUMAN	ENSG00000158445.10
DPP10_HUMAN	ENSG00000175497.17
RAP1B_HUMAN	ENSG00000127314.18
GORS2_HUMAN	ENSG00000115806.13
KLC4_HUMAN	ENSG00000137171.15
UBF1_HUMAN	ENSG00000108312.16
TEKT4_HUMAN	ENSG00000163060.8
TEKT1_HUMAN	ENSG00000167858.13
UVRAG_HUMAN	ENSG00000198382.9
CXCR1_HUMAN	ENSG00000163464.8
TRIM6_HUMAN	ENSG00000121236.21
THOC2_HUMAN	ENSG00000125676.20
FANCA_HUMAN	ENSG00000187741.16
LMNB1_HUMAN	ENSG00000113368.12
KIBRA_HUMAN	ENSG00000113645.15
CLH2_HUMAN	ENSG00000070371.16
RN135_HUMAN	ENSG00000181481.14
RN135_HUMAN	ENSG00000291712.1
ACVL1_HUMAN	ENSG00000139567.13
KCNJ5_HUMAN	ENSG00000120457.12
PAR6B_HUMAN	ENSG00000124171.9
CHTOP_HUMAN	ENSG00000160679.14
ATG4A_HUMAN	ENSG00000101844.18
K1C15_HUMAN	ENSG00000171346.16
TNR3_HUMAN	ENSG00000111321.11
ARRC_HUMAN	ENSG00000120500.19
MED14_HUMAN	ENSG00000180182.11
CENPR_HUMAN	ENSG00000142856.17
MLP3A_HUMAN	ENSG00000101460.13
AKP13_HUMAN	ENSG00000170776.22
APEX2_HUMAN	ENSG00000169188.5
TRM6_HUMAN	ENSG00000089195.15
MDHM_HUMAN	ENSG00000146701.12
PRP31_HUMAN	ENSG00000105618.14
PRP31_HUMAN	ENSG00000275885.4
PABP4_HUMAN	ENSG00000090621.15
GDIR1_HUMAN	ENSG00000141522.12
RHOH_HUMAN	ENSG00000168421.14
B2CL2_HUMAN	ENSG00000129473.11
B2CL2_HUMAN	ENSG00000258643.6
CLUA1_HUMAN	ENSG00000103351.13
SIGL6_HUMAN	ENSG00000105492.16
FBX6_HUMAN	ENSG00000116663.11
RPAB1_HUMAN	ENSG00000099817.12
NDUA4_HUMAN	ENSG00000189043.10
OTX2_HUMAN	ENSG00000165588.19
IEX1_HUMAN	ENSG00000137331.12
IEX1_HUMAN	ENSG00000206478.5
IEX1_HUMAN	ENSG00000227231.3
IEX1_HUMAN	ENSG00000235030.3
IEX1_HUMAN	ENSG00000237155.3
IEX1_HUMAN	ENSG00000230128.3
ARGI1_HUMAN	ENSG00000118520.16
SMRD2_HUMAN	ENSG00000108604.18
CDR2_HUMAN	ENSG00000140743.8
ATLA3_HUMAN	ENSG00000184743.13
MBP_HUMAN	ENSG00000197971.16
CUTC_HUMAN	ENSG00000119929.13
RD23A_HUMAN	ENSG00000179262.10
HS71B_HUMAN	ENSG00000204388.7
HS71B_HUMAN	ENSG00000224501.5
HS71B_HUMAN	ENSG00000212866.6
HS71B_HUMAN	ENSG00000231555.4
HS71B_HUMAN	ENSG00000232804.5
PDS5A_HUMAN	ENSG00000121892.15
ALK_HUMAN	ENSG00000171094.18
CELF1_HUMAN	ENSG00000149187.19
SRPK2_HUMAN	ENSG00000135250.17
SMCA1_HUMAN	ENSG00000102038.16
TRI37_HUMAN	ENSG00000108395.14
GLYM_HUMAN	ENSG00000182199.11
GBRAP_HUMAN	ENSG00000170296.10
H2B1D_HUMAN	ENSG00000158373.9
KI2L4_HUMAN	ENSG00000189013.16
KI2L4_HUMAN	ENSG00000274232.4
KI2L4_HUMAN	ENSG00000273575.4
KI2L4_HUMAN	ENSG00000276044.4
KI2L4_HUMAN	ENSG00000275699.4
KI2L4_HUMAN	ENSG00000284013.2
KI2L4_HUMAN	ENSG00000283961.1
KI2L4_HUMAN	ENSG00000284365.1
KI2L4_HUMAN	ENSG00000284460.1
KI2L4_HUMAN	ENSG00000283869.1
KI2L4_HUMAN	ENSG00000284509.1
KI2L4_HUMAN	ENSG00000275456.1
KI2L4_HUMAN	ENSG00000275317.4
KI2L4_HUMAN	ENSG00000277362.1
KI2L4_HUMAN	ENSG00000277750.1
KI2L4_HUMAN	ENSG00000278271.1
KI2L4_HUMAN	ENSG00000278430.4
KI2L4_HUMAN	ENSG00000278074.1
KI2L4_HUMAN	ENSG00000274609.1
KI2L4_HUMAN	ENSG00000276779.1
KI2L4_HUMAN	ENSG00000274955.4
KI2L4_HUMAN	ENSG00000277964.1
SNX27_HUMAN	ENSG00000143376.14
CYTIP_HUMAN	ENSG00000115165.10
TPM3_HUMAN	ENSG00000143549.22
SQOR_HUMAN	ENSG00000137767.14
SNAPN_HUMAN	ENSG00000143553.11
PBX2_HUMAN	ENSG00000204304.12
PBX2_HUMAN	ENSG00000206315.9
PBX2_HUMAN	ENSG00000236353.7
PBX2_HUMAN	ENSG00000232005.7
PBX2_HUMAN	ENSG00000224952.7
PBX2_HUMAN	ENSG00000225987.7
PBX2_HUMAN	ENSG00000237344.7
TRI14_HUMAN	ENSG00000106785.15
SRSF3_HUMAN	ENSG00000112081.17
TLR7_HUMAN	ENSG00000196664.5
EPN2_HUMAN	ENSG00000072134.16
JIP1_HUMAN	ENSG00000121653.11
RBM4_HUMAN	ENSG00000173933.21
HIF3A_HUMAN	ENSG00000124440.16
USO1_HUMAN	ENSG00000138768.15
PABP1_HUMAN	ENSG00000070756.17
ACACA_HUMAN	ENSG00000275176.4
ACACA_HUMAN	ENSG00000278540.5
CCD15_HUMAN	ENSG00000149548.15
SRP14_HUMAN	ENSG00000140319.11
TBA3E_HUMAN	ENSG00000152086.9
SCNM1_HUMAN	ENSG00000163156.12
UB2L3_HUMAN	ENSG00000185651.16
H2A1H_HUMAN	ENSG00000274997.2
TAU_HUMAN	ENSG00000186868.18
TAU_HUMAN	ENSG00000276155.4
TAU_HUMAN	ENSG00000277956.4
KHDR3_HUMAN	ENSG00000131773.15
KCNH2_HUMAN	ENSG00000055118.17
MAPK3_HUMAN	ENSG00000114738.11
TEX10_HUMAN	ENSG00000136891.14
AATM_HUMAN	ENSG00000125166.13
AT5F1_HUMAN	ENSG00000116459.11
PDK1_HUMAN	ENSG00000152256.14
MMP3_HUMAN	ENSG00000149968.12
LEG8_HUMAN	ENSG00000116977.19
ISK5_HUMAN	ENSG00000133710.17
FURIN_HUMAN	ENSG00000140564.13
COPD_HUMAN	ENSG00000095139.15
CKLF5_HUMAN	ENSG00000166091.21
CD37_HUMAN	ENSG00000104894.12
PIM2_HUMAN	ENSG00000102096.10
PIM2_HUMAN	ENSG00000292210.1
CO2_HUMAN	ENSG00000166278.16
CO2_HUMAN	ENSG00000204364.10
CO2_HUMAN	ENSG00000206372.11
CO2_HUMAN	ENSG00000235696.8
CO2_HUMAN	ENSG00000231543.9
CO2_HUMAN	ENSG00000235017.9
CO2_HUMAN	ENSG00000226560.10
SSRB_HUMAN	ENSG00000163479.14
SC61B_HUMAN	ENSG00000106803.10
FXL15_HUMAN	ENSG00000107872.14
INT6_HUMAN	ENSG00000102786.15
NFU1_HUMAN	ENSG00000169599.13
KRR1_HUMAN	ENSG00000111615.14
PRPS1_HUMAN	ENSG00000147224.13
RS16_HUMAN	ENSG00000105193.9
HNRH2_HUMAN	ENSG00000126945.9
SMU1_HUMAN	ENSG00000122692.9
UROM_HUMAN	ENSG00000169344.16
SHOC2_HUMAN	ENSG00000108061.13
ATD3A_HUMAN	ENSG00000197785.14
PSD11_HUMAN	ENSG00000108671.11
KDM1A_HUMAN	ENSG00000004487.18
KCTD9_HUMAN	ENSG00000104756.17
GSHR_HUMAN	ENSG00000104687.14
PCAT1_HUMAN	ENSG00000153395.10
PLOD3_HUMAN	ENSG00000106397.12
NFL_HUMAN	ENSG00000277586.4
PACN1_HUMAN	ENSG00000124507.11
HTRA2_HUMAN	ENSG00000115317.13
HNRPL_HUMAN	ENSG00000104824.18
HNRPL_HUMAN	ENSG00000282947.2
INADL_HUMAN	ENSG00000132849.22
HNRPU_HUMAN	ENSG00000153187.21
PBX3_HUMAN	ENSG00000167081.18
S39A7_HUMAN	ENSG00000112473.19
S39A7_HUMAN	ENSG00000206288.13
S39A7_HUMAN	ENSG00000229802.11
S39A7_HUMAN	ENSG00000226614.11
S39A7_HUMAN	ENSG00000224399.11
S39A7_HUMAN	ENSG00000227402.11
RASF1_HUMAN	ENSG00000068028.18
IGBP1_HUMAN	ENSG00000089289.16
TRBP2_HUMAN	ENSG00000139546.12
NPRL2_HUMAN	ENSG00000114388.14
TFR2_HUMAN	ENSG00000106327.13
ST2B1_HUMAN	ENSG00000088002.12
MAP9_HUMAN	ENSG00000164114.19
OLIG3_HUMAN	ENSG00000177468.7
SEPT9_HUMAN	ENSG00000184640.20
P66B_HUMAN	ENSG00000143614.11
P66B_HUMAN	ENSG00000261992.2
FBX9_HUMAN	ENSG00000112146.17
GRAM_HUMAN	ENSG00000197540.8
CEAM1_HUMAN	ENSG00000079385.23
CEAM8_HUMAN	ENSG00000124469.12
SLTM_HUMAN	ENSG00000137776.17
WDR62_HUMAN	ENSG00000075702.19
UBA1_HUMAN	ENSG00000130985.17
NUDC_HUMAN	ENSG00000090273.14
HMGB1_HUMAN	ENSG00000189403.15
SRRT_HUMAN	ENSG00000087087.20
ATG4B_HUMAN	ENSG00000168397.17
RRP1_HUMAN	ENSG00000160214.13
ACV1B_HUMAN	ENSG00000135503.13
IF4G1_HUMAN	ENSG00000114867.22
ERF3B_HUMAN	ENSG00000189369.9
CCL11_HUMAN	ENSG00000172156.4
TCL1A_HUMAN	ENSG00000100721.11
HYOU1_HUMAN	ENSG00000149428.21
HYOU1_HUMAN	ENSG00000280682.3
AEN_HUMAN	ENSG00000181026.15
PEA15_HUMAN	ENSG00000162734.13
BRAP_HUMAN	ENSG00000089234.16
KSR1_HUMAN	ENSG00000141068.17
MX1_HUMAN	ENSG00000157601.15
TGFB2_HUMAN	ENSG00000092969.12
RS9_HUMAN	ENSG00000170889.14
RS9_HUMAN	ENSG00000278270.4
RS9_HUMAN	ENSG00000278081.3
RS9_HUMAN	ENSG00000274950.4
RS9_HUMAN	ENSG00000274646.4
RS9_HUMAN	ENSG00000277359.3
RS9_HUMAN	ENSG00000274626.3
RS9_HUMAN	ENSG00000274005.3
RS9_HUMAN	ENSG00000275323.3
RS9_HUMAN	ENSG00000277079.3
NH2L1_HUMAN	ENSG00000100138.15
SRSF5_HUMAN	ENSG00000100650.16
SLIRP_HUMAN	ENSG00000119705.10
DUS26_HUMAN	ENSG00000133878.9
SNRPA_HUMAN	ENSG00000077312.9
ADH4_HUMAN	ENSG00000198099.10
PSA5_HUMAN	ENSG00000143106.13
LZTS2_HUMAN	ENSG00000107816.17
DYLT3_HUMAN	ENSG00000165169.11
ZGPAT_HUMAN	ENSG00000197114.12
WRIP1_HUMAN	ENSG00000124535.16
HNRPF_HUMAN	ENSG00000169813.17
SYAC_HUMAN	ENSG00000090861.17
PLCC_HUMAN	ENSG00000160216.21
RNZ2_HUMAN	ENSG00000006744.19
JARD2_HUMAN	ENSG00000008083.14
P5CR1_HUMAN	ENSG00000183010.17
RLA1_HUMAN	ENSG00000137818.12
RBX2_HUMAN	ENSG00000114125.14
NSUN2_HUMAN	ENSG00000037474.15
C1QC_HUMAN	ENSG00000159189.13
SNX20_HUMAN	ENSG00000167208.16
MEX3C_HUMAN	ENSG00000176624.12
CASP4_HUMAN	ENSG00000196954.14
RHXF2_HUMAN	ENSG00000131721.6
LIRB1_HUMAN	ENSG00000277807.5
LIRB1_HUMAN	ENSG00000274669.5
DAZP1_HUMAN	ENSG00000071626.17
DHX36_HUMAN	ENSG00000174953.14
PYR1_HUMAN	ENSG00000084774.14
DHX9_HUMAN	ENSG00000135829.17
TF3C1_HUMAN	ENSG00000077235.18
M4K4_HUMAN	ENSG00000071054.17
ECHD2_HUMAN	ENSG00000121310.17
RPTOR_HUMAN	ENSG00000141564.16
NAL12_HUMAN	ENSG00000142405.23
MYLK2_HUMAN	ENSG00000101306.11
DYHC1_HUMAN	ENSG00000197102.14
STAC_HUMAN	ENSG00000144681.11
UBP14_HUMAN	ENSG00000101557.15
DYR1B_HUMAN	ENSG00000105204.14
DYR1B_HUMAN	ENSG00000281320.3
KLK2_HUMAN	ENSG00000167751.13
PLSI_HUMAN	ENSG00000120756.13
BNIP3_HUMAN	ENSG00000176171.12
RCN1_HUMAN	ENSG00000049449.10
BCR_HUMAN	ENSG00000186716.21
ADA17_HUMAN	ENSG00000151694.15
SUGP2_HUMAN	ENSG00000064607.17
KANK2_HUMAN	ENSG00000197256.11
KCNJ9_HUMAN	ENSG00000162728.5
DRD4_HUMAN	ENSG00000069696.7
DRD4_HUMAN	ENSG00000276825.2
ULK1_HUMAN	ENSG00000177169.10
RIPR2_HUMAN	ENSG00000111913.20
RHOC_HUMAN	ENSG00000155366.17
DDX18_HUMAN	ENSG00000088205.13
ADA_HUMAN	ENSG00000196839.14
MECP2_HUMAN	ENSG00000169057.25
SCLT1_HUMAN	ENSG00000151466.12
ARHGB_HUMAN	ENSG00000132694.19
MMP10_HUMAN	ENSG00000166670.10
ATL1_HUMAN	ENSG00000178031.18
RBM4B_HUMAN	ENSG00000173914.12
NPAS2_HUMAN	ENSG00000170485.17
PCNP_HUMAN	ENSG00000081154.12
MYL6_HUMAN	ENSG00000092841.19
ACTY_HUMAN	ENSG00000115073.8
ACTY_HUMAN	ENSG00000291597.1
APEX1_HUMAN	ENSG00000100823.12
APEX1_HUMAN	ENSG00000291796.1
TBB4B_HUMAN	ENSG00000188229.6
AIMP1_HUMAN	ENSG00000164022.18
ELF2_HUMAN	ENSG00000109381.21
CAH2_HUMAN	ENSG00000104267.10
GRP75_HUMAN	ENSG00000113013.16
RL27A_HUMAN	ENSG00000166441.13
USE1_HUMAN	ENSG00000053501.14
SMC1A_HUMAN	ENSG00000072501.19
FILA_HUMAN	ENSG00000143631.11
PADI1_HUMAN	ENSG00000142623.11
PADI1_HUMAN	ENSG00000281459.3
ERCC5_HUMAN	ENSG00000134899.24
SH3R1_HUMAN	ENSG00000154447.15
NMDE3_HUMAN	ENSG00000161509.14
CUL7_HUMAN	ENSG00000044090.13
TRPA1_HUMAN	ENSG00000104321.11
RS4X_HUMAN	ENSG00000198034.11
TPIS_HUMAN	ENSG00000111669.15
VP37B_HUMAN	ENSG00000139722.7
CH60_HUMAN	ENSG00000144381.18
NR0B1_HUMAN	ENSG00000169297.8
ERR3_HUMAN	ENSG00000196482.18
KITH_HUMAN	ENSG00000167900.12
RS23_HUMAN	ENSG00000186468.13
PCBP1_HUMAN	ENSG00000169564.7
K1C19_HUMAN	ENSG00000171345.13
CRIP2_HUMAN	ENSG00000182809.11
CCHCR_HUMAN	ENSG00000204536.15
CCHCR_HUMAN	ENSG00000206457.10
CCHCR_HUMAN	ENSG00000206355.11
CCHCR_HUMAN	ENSG00000234114.8
GEMI2_HUMAN	ENSG00000092208.19
PLF4_HUMAN	ENSG00000163737.5
PAR6G_HUMAN	ENSG00000178184.16
SCAFB_HUMAN	ENSG00000139218.18
CBX6_HUMAN	ENSG00000183741.12
RT26_HUMAN	ENSG00000125901.6
TRI54_HUMAN	ENSG00000138100.14
STIP1_HUMAN	ENSG00000168439.17
CEBPZ_HUMAN	ENSG00000115816.15
KBP_HUMAN	ENSG00000198954.9
DPEP1_HUMAN	ENSG00000015413.10
ZMAT2_HUMAN	ENSG00000146007.11
C3AR_HUMAN	ENSG00000171860.5
NP1L4_HUMAN	ENSG00000205531.14
NP1L4_HUMAN	ENSG00000273562.4
DX39B_HUMAN	ENSG00000215425.11
DX39B_HUMAN	ENSG00000198563.14
DX39B_HUMAN	ENSG00000225073.10
DX39B_HUMAN	ENSG00000225859.10
DX39B_HUMAN	ENSG00000229496.10
DX39B_HUMAN	ENSG00000235439.10
DX39B_HUMAN	ENSG00000230624.10
ADRM1_HUMAN	ENSG00000130706.13
CYTB_HUMAN	ENSG00000160213.10
RU17_HUMAN	ENSG00000104852.15
TLR8_HUMAN	ENSG00000101916.12
EIF3L_HUMAN	ENSG00000100129.18
PURB_HUMAN	ENSG00000146676.10
DNJA1_HUMAN	ENSG00000086061.16
HOMEZ_HUMAN	ENSG00000290292.10
DHX15_HUMAN	ENSG00000109606.13
RHOG_HUMAN	ENSG00000177105.10
ZN787_HUMAN	ENSG00000142409.6
COPRS_HUMAN	ENSG00000172301.11
KIF3B_HUMAN	ENSG00000101350.8
NDUV1_HUMAN	ENSG00000167792.13
THA11_HUMAN	ENSG00000168286.3
DTX2_HUMAN	ENSG00000091073.20
E4F1_HUMAN	ENSG00000167967.16
NEK2_HUMAN	ENSG00000117650.13
MCM6_HUMAN	ENSG00000076003.5
CO4B_HUMAN	ENSG00000228454.7
CO4B_HUMAN	ENSG00000228267.8
CO4B_HUMAN	ENSG00000224389.9
CO4B_HUMAN	ENSG00000233312.9
CO4B_HUMAN	ENSG00000236625.8
TRI41_HUMAN	ENSG00000146063.20
RAB2A_HUMAN	ENSG00000104388.15
DCAF5_HUMAN	ENSG00000139990.18
BNIP2_HUMAN	ENSG00000140299.14
A1AG1_HUMAN	ENSG00000229314.6
NU107_HUMAN	ENSG00000111581.10
LC7L3_HUMAN	ENSG00000108848.16
CXCL7_HUMAN	ENSG00000163736.4
LYAM1_HUMAN	ENSG00000188404.10
ATPA_HUMAN	ENSG00000152234.16
KS6A4_HUMAN	ENSG00000162302.13
PRDX5_HUMAN	ENSG00000126432.14
KC1D_HUMAN	ENSG00000141551.15
ROA0_HUMAN	ENSG00000177733.7
PO210_HUMAN	ENSG00000132182.13
OAT_HUMAN	ENSG00000065154.12
PRKRA_HUMAN	ENSG00000180228.14
NID2_HUMAN	ENSG00000087303.19
ELN_HUMAN	ENSG00000049540.19
C102B_HUMAN	ENSG00000150636.17
ZFYV1_HUMAN	ENSG00000165861.14
SARG_HUMAN	ENSG00000182795.13
CAD24_HUMAN	ENSG00000139880.21
RPN2_HUMAN	ENSG00000118705.18
RPN2_HUMAN	ENSG00000291973.1
PB1_HUMAN	ENSG00000163939.19
RTCB_HUMAN	ENSG00000100220.12
NDUAD_HUMAN	ENSG00000186010.19
PNMA2_HUMAN	ENSG00000240694.9
SPTC1_HUMAN	ENSG00000090054.16
TDRD1_HUMAN	ENSG00000095627.10
HEP2_HUMAN	ENSG00000099937.11
PHLP1_HUMAN	ENSG00000081913.14
A1BG_HUMAN	ENSG00000121410.12
LOX12_HUMAN	ENSG00000108839.12
SG3A2_HUMAN	ENSG00000164265.9
MARCO_HUMAN	ENSG00000019169.11
GLYG2_HUMAN	ENSG00000056998.21
TCEA1_HUMAN	ENSG00000187735.16
ENOA_HUMAN	ENSG00000074800.16
PDIA3_HUMAN	ENSG00000167004.14
TYDP2_HUMAN	ENSG00000111802.14
TCAL4_HUMAN	ENSG00000133142.19
ZNF80_HUMAN	ENSG00000174255.8
RL7_HUMAN	ENSG00000147604.14
NGAL_HUMAN	ENSG00000148346.12
ZSCA1_HUMAN	ENSG00000152467.10
PGRC1_HUMAN	ENSG00000101856.10
USBP1_HUMAN	ENSG00000130307.12
BET1_HUMAN	ENSG00000105829.13
LPP_HUMAN	ENSG00000145012.15
TIM50_HUMAN	ENSG00000105197.11
KINH_HUMAN	ENSG00000170759.11
RS19_HUMAN	ENSG00000105372.8
PKN2_HUMAN	ENSG00000065243.20
KLF6_HUMAN	ENSG00000067082.15
PRP19_HUMAN	ENSG00000110107.9
RNPS1_HUMAN	ENSG00000205937.12
UBP4_HUMAN	ENSG00000114316.13
DUS19_HUMAN	ENSG00000162999.13
RBM28_HUMAN	ENSG00000106344.8
UTP6_HUMAN	ENSG00000108651.10
I17RB_HUMAN	ENSG00000056736.10
DFB4A_HUMAN	ENSG00000171711.3
DFB4A_HUMAN	ENSG00000177257.3
DFB4A_HUMAN	ENSG00000275444.2
